"","track.name","track.popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.explicit","playlist_name"
"60","Sucker",81,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181026,FALSE,"Top Hits of 2019"
"61","Someone You Loved",89,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182160,FALSE,"Top Hits of 2019"
"62","If I Can't Have You",77,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,190800,FALSE,"Top Hits of 2019"
"63","i'm so tired...",13,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,162582,FALSE,"Top Hits of 2019"
"64","How Do You Sleep?",78,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202204,FALSE,"Top Hits of 2019"
"65","Lose You To Love Me",18,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206458,FALSE,"Top Hits of 2019"
"66","thank u, next",83,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320,TRUE,"Top Hits of 2019"
"67","I Don't Care (with Justin Bieber)",76,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219946,FALSE,"Top Hits of 2019"
"68","Boy With Luv (feat. Halsey)",81,0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,229773,FALSE,"Top Hits of 2019"
"69","Easier",5,0.505,0.428,5,-5.604,1,0.221,0.489,0,0.0977,0.618,175.813,157492,FALSE,"Top Hits of 2019"
"70","Never Really Over",76,0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,223523,FALSE,"Top Hits of 2019"
"71","Post Malone (feat. RANI)",75,0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,174444,FALSE,"Top Hits of 2019"
