"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"1132",0.574,0.694,-4.697,1,0.0327,0,0.401,109.85,168666,FALSE,69,"You've Got The Love","F#","2009","major","F# major"
"1133",0.48,0.486,-5.754,0,0.0447,0,0.265,80.051,227533,TRUE,63,"Russian Roulette","F#","2009-11-20","minor","F# minor"
"1134",0.719,0.861,-6.982,1,0.0402,0.00989,0.948,121.491,201213,TRUE,55,"Not Fair","F","2009-11-16","major","F major"
"1135",0.68,0.687,-6.162,0,0.0709,0,0.467,150.053,249533,TRUE,72,"Whatever You Like","A","2008-09-07","minor","A minor"
"1136",0.542,0.905,-5.653,1,0.054,0.0104,0.374,153.398,203346,FALSE,79,"Sex on Fire","A","2008-09-23","major","A major"
"1137",0.612,0.791,-4.904,1,0.0301,0,0.404,91.054,251440,FALSE,46,"Sober","F#","2010-11-12","major","F# major"
"1138",0.23,0.492,-5.767,1,0.0317,8.18e-06,0.262,160.139,256613,FALSE,67,"Never Say Never","G#","2009-02-02","major","G# major"
"1139",0.607,0.783,-4.41,1,0.0397,0,0.434,113.172,231173,TRUE,64,"Let It Rock","G","2008-01-01","major","G major"
"1140",0.536,0.89,-5.222,1,0.0601,0.00165,0.205,115.998,252653,FALSE,61,"Gotta Be Somebody","C","2008-10-28","major","C major"
"1141",0.88,0.443,-6.359,0,0.0653,7.13e-06,0.803,138.018,221240,FALSE,70,"Day 'N' Nite (Nightmare)","B","2009-01-01","minor","B minor"
"1142",0.616,0.596,-5.035,1,0.0289,0,0.58,137.077,204200,FALSE,48,"Big Green Tractor","E","2009-11-05","major","E major"
"1143",0.661,0.847,-6.948,1,0.0404,8.82e-05,0.522,134.002,207120,TRUE,50,"The Fear","A#","2009-01-26","major","A# major"
"1144",0.624,0.977,-3.34,0,0.22,0,0.74,126.127,177573,FALSE,36,"Bonkers","B","2011-01-01","minor","B minor"
"1145",0.673,0.614,-5.426,1,0.103,0,0.362,176.052,289746,TRUE,63,"Blame It","G","2008-12-11","major","G major"
"1146",0.529,0.948,-3.527,1,0.0474,9.35e-06,0.65,146.024,238000,FALSE,63,"All The Right Moves","C","2009-01-01","major","C major"
"1147",0.422,0.67,-5.955,1,0.0292,0,0.119,95.797,233213,FALSE,53,"Red","E","2009-06-01","major","E major"
"1148",0.713,0.746,-4.99,1,0.259,0,0.47,135.021,299746,TRUE,67,"Dead And Gone","C","2008-09-07","major","C major"
"1149",0.789,0.55,-7.423,0,0.0473,0,0.696,172.049,231573,TRUE,58,"Throw It In The Bag","B","2009-01-01","minor","B minor"
"1150",0.546,0.712,-3.104,0,0.0269,0,0.489,150.154,206333,FALSE,57,"Turn My Swag On","D#","2008-01-01","minor","D# minor"
"1151",0.918,0.609,-5.64,0,0.0791,0,0.304,128.008,231400,FALSE,78,"Low (feat. T-Pain)","A#","2008-03-17","minor","A# minor"
"1152",0.617,0.741,-3.97,1,0.0311,0,0.306,118.984,236266,FALSE,76,"Love Story","D","2008-11-11","major","D major"
"1153",0.699,0.76,-3.173,1,0.0677,0,0.696,129.996,179640,FALSE,71,"I Kissed A Girl","F","2008-06-17","major","F major"
"1154",0.644,0.548,-5.416,0,0.0286,8.68e-06,0.166,90.042,253813,FALSE,78,"No One","C#","2007-11-09","minor","C# minor"
"1155",0.822,0.739,-4.541,0,0.0311,4.26e-05,0.745,118.992,241933,FALSE,74,"Just Dance","C#","2008-01-01","minor","C# minor"
"1156",0.486,0.617,-7.115,0,0.0287,3.23e-06,0.417,138.015,242373,FALSE,78,"Viva La Vida","F","2008-05-26","minor","F minor"
"1157",0.707,0.813,-4.515,0,0.0571,0,0.722,124.921,238626,FALSE,74,"Disturbia","B","2008-06-02","minor","B minor"
"1158",0.829,0.428,-9.469,1,0.0831,0.00413,0.45,148.075,299333,TRUE,67,"Lollipop","C","2008-06-10","major","C major"
"1159",0.466,0.759,-4.978,0,0.199,0,0.328,160.033,264373,FALSE,62,"No Air (feat. Chris Brown)","G#","2007-11-19","minor","G# minor"
"1160",0.668,0.673,-5.714,1,0.145,0,0.727,171.812,232000,FALSE,68,"Miss Independent","C#","2008-01-01","major","C# major"
"1161",0.692,0.911,-5.098,0,0.177,7.34e-05,0.801,138.975,190453,FALSE,58,"See You Again","A","2007-01-01","minor","A minor"
"1162",0.706,0.841,-3.956,1,0.0418,0,0.861,132.032,220226,FALSE,69,"Hot N Cold","G","2008-06-17","major","G major"
"1163",0.667,0.954,-3.462,1,0.0817,0,0.807,114,175093,FALSE,67,"Burnin' Up","D","2008-08-12","major","D major"
"1164",0.835,0.669,-5.582,0,0.0643,6.92e-05,0.542,122.668,267080,FALSE,76,"Don't Stop The Music","F#","2008-06-02","minor","F# minor"
"1165",0.724,0.695,-5.226,1,0.0622,0,0.235,139,224400,FALSE,75,"Womanizer","B","2008-12-02","major","B major"
"1166",0.949,0.79,-5.957,1,0.0756,0,0.807,117.002,246053,TRUE,71,"Dangerous","G#","2008-01-01","major","G# major"
"1167",0.671,0.685,-5.762,0,0.05,0,0.368,118.449,245680,FALSE,71,"When I Grow Up","B","2008-09-23","minor","B minor"
"1168",0.672,0.82,-4.456,1,0.0459,0.000188,0.438,120.005,278573,FALSE,72,"Forever","B","2008-04-29","major","B major"
"1169",0.638,0.656,-5.886,1,0.0357,0,0.225,104.036,262466,FALSE,75,"Bleeding Love","F","2007","major","F major"
"1170",0.534,0.87,-3.078,0,0.0425,0,0.462,126.019,215160,TRUE,75,"So What","B","2008-10-24","minor","B minor"
"1171",0.632,0.518,-6.126,1,0.0313,0,0.427,90.007,249146,FALSE,66,"If I Were a Boy","F#","2008-11-14","major","F# major"
"1172",0.697,0.467,-7.536,1,0.0715,0,0.572,82.082,229413,FALSE,74,"Take A Bow","A","2008-06-02","major","A major"
"1173",0.766,0.692,-4.672,1,0.0289,0,0.691,102.028,205160,FALSE,54,"One Step At a Time","C#","2007-11-19","major","C# major"
"1174",0.57,0.664,-4.718,0,0.0322,1.2e-05,0.487,162.084,213520,FALSE,67,"Crush","C","2008-11-11","minor","C minor"
"1175",0.583,0.786,-3.142,0,0.0301,0,0.573,123.055,258826,FALSE,73,"Love Song","D","2007-07-03","minor","D minor"
"1176",0.727,0.729,-2.99,1,0.326,0,0.512,117.932,284733,TRUE,77,"American Boy","C","2008-03-28","major","C major"
"1177",0.662,0.693,-4.298,1,0.0698,0,0.655,86.009,252120,FALSE,70,"With You","D#","2007-11-06","major","D# major"
"1178",0.753,0.931,-4.922,1,0.0652,0.00696,0.767,113.029,189693,FALSE,67,"4 Minutes (feat. Justin Timberlake & Timbaland)","D","2009-09-18","major","D major"
"1179",0.726,0.881,-3.892,0,0.0391,0,0.682,110.019,203440,FALSE,62,"Pocketful of Sunshine","A","2008","minor","A minor"
"1180",0.618,0.955,-3.836,1,0.0798,3.09e-06,0.79,150.034,179946,FALSE,69,"Shake It","E","2007-09-18","major","E major"
"1181",0.637,0.73,-5.38,0,0.0874,0,0.732,93.867,218946,FALSE,68,"Hate That I Love You","F","2008-06-02","minor","F minor"
"1182",0.83,0.857,-4.194,0,0.152,0,0.607,137.982,240746,FALSE,67,"Right Now (Na Na Na)","G#","2008-01-01","minor","G# minor"
"1183",0.566,0.766,-5.036,1,0.0399,0,0.547,168.005,233466,FALSE,53,"Tattoo","D","2007-11-19","major","D major"
"1184",0.733,0.9,-4.758,1,0.0341,0.0218,0.937,139.61,207476,FALSE,54,"What's It Gonna Be (feat. Platnum)","A","2008-02-08","major","A major"
"1185",0.756,0.612,-4.371,1,0.0317,0,0.452,111.572,218400,FALSE,63,"I Hate This Part","F","2008-09-23","major","F major"
"1186",0.688,0.477,-6.684,1,0.036,0,0.257,127.866,196226,FALSE,72,"Bubbly","A","2007-01-01","major","A major"
"1187",0.715,0.665,-7.736,0,0.0502,0,0.84,78.502,204733,FALSE,59,"Touch My Body","E","2008-01-01","minor","E minor"
"1188",0.707,0.724,-3.887,0,0.051,0,0.659,108.984,250106,FALSE,61,"Spotlight","B","2008-09-30","minor","B minor"
"1189",0.687,0.71,-5.84,1,0.0522,3.71e-06,0.886,79.235,216880,FALSE,62,"Leavin'","A","2008","major","A major"
"1190",0.709,0.745,-6.437,0,0.0738,5.2e-05,0.576,126.027,234360,FALSE,60,"Closer","E","2008-01-01","minor","E minor"
"1191",0.923,0.795,-3.61,0,0.117,0.000565,0.588,123.021,242133,FALSE,62,"Just Fine","B","2007-01-01","minor","B minor"
"1192",0.614,0.47,-6.09,0,0.0255,0,0.329,80.045,210506,FALSE,42,"Chasing Pavements","F","2008-01-28","minor","F minor"
"1193",0.573,0.712,-5.976,1,0.0732,0,0.346,140.012,259720,FALSE,66,"Love in This Club (feat. Young Jeezy)","C","2008-05-27","major","C major"
"1194",0.375,0.862,-3.363,0,0.255,0,0.478,159.841,338853,TRUE,73,"Live Your Life","B","2008-09-07","minor","B minor"
