"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"171",0.754,0.805,-4.249,1,0.0752,0,0.555,93.982,176133,FALSE,72,"Vaina Loca","F#","2018-08-24","major","F# major"
"172",0.769,0.838,-5.238,1,0.0633,0,0.602,93.996,249608,FALSE,72,"La player (Bandolera)","D","2018-02-23","major","D major"
"173",0.765,0.339,-8.965,1,0.0365,0,0.864,123.95,202560,FALSE,73,"El Color de Tus Ojos","G#","2017-04-21","major","G# major"
"174",0.791,0.862,-3.24,0,0.11,2.19e-05,0.592,123.994,214846,FALSE,80,"One Kiss (with Dua Lipa)","A","2018-04-06","minor","A minor"
"175",0.739,0.821,-4.233,1,0.0852,9.6e-06,0.693,171.077,188080,FALSE,71,"Se Preparó","C#","2017-08-25","major","C# major"
"176",0.733,0.892,-3.641,1,0.0417,0,0.675,95.989,173720,FALSE,64,"Échame La Culpa","C","2017-11-17","major","C major"
"177",0.849,0.724,-4.139,1,0.0665,5.98e-06,0.63,98.005,201122,FALSE,69,"Te Amo","F","2018-03-15","major","F major"
"178",0.685,0.762,-5.147,1,0.0565,0,0.905,172.017,245360,FALSE,57,"Por Perro","C","2018-03-30","major","C major"
"179",0.836,0.544,-5.975,1,0.0943,0,0.51,97.028,217946,TRUE,78,"IDGAF","G","2017-06-02","major","G major"
"180",0.697,0.648,-7.123,1,0.128,0,0.313,186.125,199813,FALSE,61,"Esperándote","G","2017-12-07","major","G major"
"181",0.754,0.449,-9.211,1,0.109,8.29e-05,0.357,77.169,198973,TRUE,82,"God's Plan","G","2018-06-29","major","G major"
"182",0.807,0.633,-6.016,0,0.0929,0,0.325,138.038,311726,FALSE,71,"Solita","A#","2018-01-19","minor","A# minor"
"183",0.54,0.367,-14.238,1,0.0277,0,0.252,70.276,237240,FALSE,71,"Culpable O No - Miénteme Como Siempre","C","1988-11-25","major","C major"
"184",0.719,0.842,-3.562,0,0.0383,0,0.534,90.017,228138,FALSE,63,"EL BAÑO (feat. Bad Bunny)","F#","2018-01-12","minor","F# minor"
"185",0.816,0.726,-3.998,0,0.129,0,0.65,136.048,253390,TRUE,80,"I Like It","F","2018-04-06","minor","F minor"
"186",0.78,0.877,-3.683,0,0.0427,2.36e-06,0.909,133.263,191973,FALSE,76,"Ahora Te Puedes Marchar","F#","1987-07-15","minor","F# minor"
"187",0.762,0.631,-4.837,1,0.0544,0,0.379,118.969,228874,FALSE,1,"Nena Maldicion (feat. Lenny Tavarez)","F#","2018-01-30","major","F# major"
"188",0.747,0.732,-3.24,1,0.145,0,0.887,180.112,203853,FALSE,53,"SUTRA","A","2017-10-13","major","A major"
"189",0.742,0.859,-4.942,1,0.0482,0,0.652,95.046,194742,FALSE,72,"Robarte un Beso","A#","2017-11-10","major","A# major"
"190",0.852,0.773,-2.921,0,0.0776,3.05e-05,0.907,102.034,195840,FALSE,73,"Chantaje (feat. Maluma)","G#","2017-05-26","minor","G# minor"
"191",0.788,0.477,-7.348,1,0.0434,0,0.86,94.983,213026,FALSE,69,"Una Lady Como Tú","E","2017-04-10","major","E major"
"192",0.585,0.52,-6.136,0,0.0712,7.01e-05,0.129,159.801,218146,TRUE,83,"rockstar (feat. 21 Savage)","F","2018-04-27","minor","F minor"
"193",0.837,0.784,-4.531,0,0.101,0,0.748,94.036,217653,FALSE,69,"No Me Acuerdo","G","2018-11-09","minor","G minor"
"194",0.743,0.855,-3.976,0,0.0436,0.0045,0.871,96.989,202453,FALSE,57,"Mayores","F","2017-07-14","minor","F minor"
"195",0.744,0.859,-3.166,1,0.0795,6.27e-05,0.787,91.977,232786,FALSE,71,"Escápate Conmigo (feat. Ozuna)","B","2017-12-01","major","B major"
"196",0.766,0.827,-3.332,1,0.0538,0,0.831,91.03,238160,FALSE,65,"Que Va","C","2017-08-04","major","C major"
"197",0.762,0.7,-6.021,0,0.0694,1.56e-05,0.608,116.073,209320,FALSE,78,"New Rules","A","2017-06-02","minor","A minor"
"198",0.825,0.652,-3.183,0,0.0802,0,0.931,95.977,233712,FALSE,83,"Shape of You","C#","2017-03-03","minor","C# minor"
"199",0.737,0.742,-2.875,1,0.0441,0,0.386,119.966,258000,FALSE,69,"El Farsante - Remix","F#","2018-01-30","major","F# major"
"200",0.842,0.801,-4.167,0,0.228,4.82e-06,0.617,95.881,212500,TRUE,77,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","G#","2018-09-28","minor","G# minor"
